paper,paper_url,date,year,half_year,primary_level,capability_path,modalities,catalog_subsection,primary_mechanism,controller_type,visual_executor,feedback,evaluation_type,planning,retrieval,tool_use,multi_agent,verification,memory,rl,closed_loop,cross_task_persistence,github,website,open_source
The Script is All You Need: An Agentic Framework for Long-Horizon Dialogue-to-Cinematic Video Generation,https://arxiv.org/abs/2601.17737,2026-01,2026,2026-H1,L2,L1+L2,Video,Multi-agent and long-horizon workflow orchestration,Tool and workflow orchestration,language or multimodal controller,video generator or editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,True,False,True,False,False,False,False,False,False,https://github.com/Tencent/digitalhuman/tree/main/ScriptAgent,https://xd-mu.github.io/ScriptIsAllYouNeed/,True
CineAgents,https://arxiv.org/abs/2604.10456,2026-04,2026,2026-H1,L2,L1+L2,Video;Editing,Multi-agent and long-horizon workflow orchestration,Narrative-memory-grounded blueprint and one-pass tool assembly,language or multimodal controller,video generator or editor; visual editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,True,True,False,False,True,False,False,False,,,False
Long-Video Audio Synthesis with Multi-Agent Collaboration,https://arxiv.org/abs/2503.10719,2025-03,2025,2025-H1,L2,L1+L2,Video,Multi-agent and long-horizon workflow orchestration,Audio workflow orchestration,multi-role language or multimodal controller,video generator or editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,True,False,False,False,False,False,https://github.com/ZYH-Lightyear/LVAS,https://lvas-agent.github.io/,True
VisAgent,https://arxiv.org/abs/2503.02399,2025-03,2025,2025-H1,L2,L1+L2,Image,Multi-agent and long-horizon workflow orchestration,Narrative visualization workflow,language or multimodal controller,image generator,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,,,False
StoryAgent,https://arxiv.org/abs/2411.04925,2024-11,2024,2024-H2,L2,L1+L2,Image;Video,Multi-agent and long-horizon workflow orchestration,Storyboard and character workflow,language or multimodal controller,image generator; video generator or editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,True,False,True,False,False,False,False,False,False,,,False
DreamFactory,https://arxiv.org/abs/2408.11788,2024-08,2024,2024-H2,L2,L1+L2,Video,Multi-agent and long-horizon workflow orchestration,Multi-scene workflow,language or multimodal controller,video generator or editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,,,False
Mora,https://arxiv.org/abs/2403.13248,2024-03,2024,2024-H1,L2,L1+L2,Video,Multi-agent and long-horizon workflow orchestration,Multi-agent video modules,multi-role language or multimodal controller,video generator or editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,True,False,False,False,False,False,https://github.com/lichao-sun/Mora,,True
CADIR: A Cross-Backend Editable Intermediate Representation for Agentic CAD Generation,https://arxiv.org/abs/2608.00891,2026-08,2026,2026-H2,L2,L1+L2,3D;Editing,Structured visual artifacts: slides and user interfaces,Tool and workflow orchestration,language or multimodal controller,3D generator or scene engine; visual editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,,,False
TVIR: Building Deep Research Agents Towards Text-Visual Interleaved Report Generation,https://arxiv.org/abs/2606.02320,2026-06,2026,2026-H1,L2,L1+L2,Image,Structured visual artifacts: slides and user interfaces,Tool and workflow orchestration,unified multimodal policy,image generator,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,True,True,False,False,False,False,False,False,https://github.com/NJU-LINK/TVIR,https://nju-link.github.io/TVIR,True
PresentAgent-2: Towards Generalist Multimodal Presentation Agents,https://arxiv.org/abs/2605.11363,2026-05,2026,2026-H1,L2,L1+L2,Slide,Structured visual artifacts: slides and user interfaces,Tool and workflow orchestration,language or multimodal controller,slide renderer or object model,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,https://github.com/AIGeeksGroup/PresentAgent-2,https://aigeeksgroup.github.io/PresentAgent-2,True
MiLDEdit: Reasoning-Based Multi-Layer Design Document Editing,https://arxiv.org/abs/2601.04589,2026-01,2026,2026-H1,L2,L1+L2,Image;Editing,Structured visual artifacts: slides and user interfaces,Tool and workflow orchestration,language or multimodal controller,image generator; visual editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,True,False,True,False,False,False,False,False,False,,,False
From Pixels to Paths: A Multi-Agent Framework for Editable Scientific Illustration,https://arxiv.org/abs/2510.27452,2025-10,2025,2025-H2,L2,L1+L2,Image;Editing,Structured visual artifacts: slides and user interfaces,Tool and workflow orchestration,multi-role language or multimodal controller,image generator; visual editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,True,False,False,False,False,False,https://github.com/HerzogFL/VisPainter,,True
RS-Gen: A Multi-Stage Agentic Framework for Reasoning and Search-Augmented Image Generation,https://arxiv.org/abs/2606.23221,2026-06,2026,2026-H1,L3,L1+L2+L3,Image,Prompt feedback and compositional correction,Adaptive routing and generate-verify-correct loop,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,True,True,False,True,False,False,True,False,,,False
IA-T2I: Internet-Augmented Text-to-Image Generation,https://arxiv.org/abs/2505.15779,2025-05,2025,2025-H1,L3,L1+L3,Image,Prompt feedback and compositional correction,Generated-image self-reflection and multi-round regeneration,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,,,False
Beyond Starry Night: Shortcut-Aware Control-State Planning for Artist-Grounded Text to Image Generation,https://arxiv.org/abs/2608.06751,2026-08,2026,2026-H2,L3,L1+L3,Image,Prompt feedback and compositional correction,Execute-evaluate-reflect prompt correction,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,True,False,False,True,False,False,True,False,,,False
MetaPoint,https://arxiv.org/abs/2606.05031,2026-06,2026,2026-H1,L3,L1+L3,Image,Prompt feedback and compositional correction,Generate-reflect-execute spatial correction,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,,,False
Self-Reasoning Agentic Framework for Narrative Product Grid-Collage Generation,https://arxiv.org/abs/2604.16958,2026-04,2026,2026-H1,L3,L1+L3,Image,Prompt feedback and compositional correction,Generation-critique loop for product collage,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,False,True,False,False,True,False,,,False
"RPG: Recaptioning, Planning, and Generating with Multimodal LLMs",https://arxiv.org/abs/2401.11708,2024-01,2024,2024-H1,L3,L1+L3,Image,Prompt feedback and compositional correction,Optional rendered-image self-refinement,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,False,True,False,False,True,False,https://github.com/YangLing0818/RPG-DiffusionMaster,,True
VisPuzzle: Task-Aware Composite Visualization Construction,https://arxiv.org/abs/2608.11635,2026-08,2026,2026-H2,L3,L1+L2+L3,Image,Prompt feedback and compositional correction,Outcome-aware verification and revision,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/vispuzzle/vispuzzle,https://huggingface.co/datasets/vispuzzle/vispuzzle,True
GVR-Coder: A Visual-Feedback Framework for Structured SVG Generation in Complex Document and Meeting Scenarios,https://arxiv.org/abs/2607.28073,2026-07,2026,2026-H2,L3,L1+L2+L3,Image,Prompt feedback and compositional correction,Outcome-aware verification and revision,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
PRISM: Prompt Refinement via Image-grounded Self-rewarding Mechanism for Text-to-Image Generation,https://arxiv.org/abs/2607.24353,2026-07,2026,2026-H2,L3,L1+L2+L3,Image,Prompt feedback and compositional correction,Outcome-aware verification and revision,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,True,True,False,True,False,False,True,False,,https://anonymous.4open.science/r/PRISM-FF81,False
Render-in-the-Loop: Vector Graphics Generation via Visual Self-Feedback,https://arxiv.org/abs/2604.20730,2026-04,2026,2026-H1,L3,L1+L2+L3,Image,Prompt feedback and compositional correction,Outcome-aware verification and revision,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
Agentic Flow Steering and Parallel Rollout Search for Spatially Grounded Text-to-Image Generation,https://arxiv.org/abs/2603.18627,2026-03,2026,2026-H1,L3,L1+L2+L3,Image,Prompt feedback and compositional correction,Outcome-aware verification and revision,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,False,True,False,False,True,False,,,False
coDrawAgents,https://arxiv.org/abs/2603.12829,2026-03,2026,2026-H1,L3,L1+L2+L3,Image,Prompt feedback and compositional correction,Multi-round scene construction,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/ChunhanLiii/coDrawAgents,,True
M3,https://arxiv.org/abs/2602.06166,2026-02,2026,2026-H1,L3,L1+L2+L3,Image,Prompt feedback and compositional correction,Multi-agent visual diagnosis,multi-role language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,https://github.com/LINs-lab/M3,,True
GenPilot,https://arxiv.org/abs/2510.07217,2025-10,2025,2025-H2,L3,L1+L2+L3,Image,Prompt feedback and compositional correction,Error analysis and prompt refinement,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,https://github.com/27yw/GenPilot,,True
PromptSculptor,https://arxiv.org/abs/2509.12446,2025-09,2025,2025-H2,L3,L1+L2+L3,Image,Prompt feedback and compositional correction,Multi-agent self-evaluation,multi-role language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,True,True,False,False,True,False,,,False
CountLoop,https://arxiv.org/abs/2508.16644,2025-08,2025,2025-H2,L3,L1+L3,Image,Prompt feedback and compositional correction,Counting feedback loop,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,,https://mondalanindya.github.io/CountLoop/,False
Test-time Prompt Refinement,https://arxiv.org/abs/2507.22076,2025-07,2025,2025-H2,L3,L1+L3,Image,Prompt feedback and compositional correction,Iterative visual diagnosis,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,False,True,False,False,True,False,,,False
PointT2I,https://arxiv.org/abs/2506.01370,2025-06,2025,2025-H1,L3,L1+L3,Image,Prompt feedback and compositional correction,Semantic feedback on generated pose images,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,,,False
RATTPO,https://arxiv.org/abs/2506.16853,2025-06,2025,2025-H1,L3,L1+L3,Image,Prompt feedback and compositional correction,Reward-history prompt search,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,True,False,False,True,False,False,True,False,https://github.com/seminkim/RATTPO,,True
VisualPrompter,https://arxiv.org/abs/2506.23138,2025-06,2025,2025-H1,L3,L1+L3,Image,Prompt feedback and compositional correction,Image-grounded prompt repair,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,True,False,False,True,False,False,True,False,https://github.com/teheperinko541/VisualPrompter,,True
ComfyMind: Toward General-Purpose Generation via Tree-Based Planning and Reactive Feedback,https://arxiv.org/abs/2505.17908,2025-05,2025,2025-H1,L3,L1+L2+L3,Image,Prompt feedback and compositional correction,Outcome-aware verification and revision,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,https://github.com/LitaoGuo/ComfyMind,https://litaoguo.github.io/ComfyMind.github.io/,True
LayerCraft,https://arxiv.org/abs/2504.00010,2025-04,2025,2025-H1,L3,L1+L3,Image,Prompt feedback and compositional correction,Layered integration and revision,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,https://github.com/PeterYYZhang/LayerCraft,,True
Marmot: Object-Level Self-Correction via Multi-Agent Reasoning,https://arxiv.org/abs/2504.20054,2025-04,2025,2025-H1,L3,L1+L2+L3,Image,Prompt feedback and compositional correction,Outcome-aware verification and revision,multi-role language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,True,True,False,False,True,False,,,False
Twin Co-Adaptive Dialogue,https://arxiv.org/abs/2504.14868,2025-04,2025,2025-H1,L3,L1+L3,Image,Prompt feedback and compositional correction,Progressive dialogue and image updates,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,,,False
PASTA: Preference Adaptive and Sequential Text-to-Image Generation,https://arxiv.org/abs/2412.10419,2024-12,2024,2024-H2,L3,L1+L3,Image,Prompt feedback and compositional correction,Sequential preference feedback,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,False,True,False,False,True,False,,https://www.kaggle.com/datasets/googleai/pasta-data,False
OPT2I: Improving Text-to-Image Consistency via Automatic Prompt Optimization,https://arxiv.org/abs/2403.17804,2024-03,2024,2024-H1,L3,L1+L3,Image,Prompt feedback and compositional correction,Rendered-score prompt search,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,True,False,False,True,False,False,True,False,,,False
MuLan,https://arxiv.org/abs/2402.12741,2024-02,2024,2024-H1,L3,L1+L3,Image,Prompt feedback and compositional correction,Progressive construction,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,https://github.com/measure-infinity/mulan-code,,True
CompAgent,https://arxiv.org/abs/2401.15688,2024-01,2024,2024-H1,L3,L1+L3,Image,Prompt feedback and compositional correction,Visual-feedback correction,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,,,False
Promptify: Interactive Prompt Exploration with Large Language Models,https://arxiv.org/abs/2304.09337,2023-04,2023,2023-H1,L3,L1+L3,Image,Prompt feedback and compositional correction,Candidate-driven user feedback,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,False,True,False,False,True,False,https://github.com/promptslab/Promptify,,True
Monte Carlo Tree Search for Table-to-Multimodal Report Generation,https://arxiv.org/abs/2608.04071,2026-08,2026,2026-H2,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Outcome-aware verification and revision,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,False,True,False,False,True,False,,,False
JarvisHub: An Open Harness for Canvas-Native Multimodal Creative Agents,https://arxiv.org/abs/2607.23588,2026-07,2026,2026-H2,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback","Canvas-state inspection, feedback-guided revision, and recovery",unified multimodal policy,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/LYL1015/JarvisHub,https://www.jarvishub.site/,True
GlyphBanana,https://arxiv.org/abs/2603.12155,2026-03,2026,2026-H1,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Generated-glyph inspection and iterative refinement,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/yuriYanZeXuan/GlyphBanana,,True
"VisionCreator: A Native Visual-Generation Agentic Model with Understanding, Thinking, Planning and Creation",https://arxiv.org/abs/2603.02681,2026-03,2026,2026-H1,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Tool-feedback-grounded goal verification and revision,unified multimodal policy,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,True,True,False,True,False,False,True,False,,,False
ParticleGen: A Multi-Agent System for Particle Effects Generation,https://arxiv.org/abs/2608.00629,2026-08,2026,2026-H2,L3,L1+L2+L3,Video;3D,"Tool orchestration, routing, and world grounding with feedback",Rendered particle-effect feedback,multi-role language or multimodal controller,video generator or editor; 3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,,,False
ToolArtist: Tool-Using Unified Multimodal Models for Agentic Image Generation,https://arxiv.org/abs/2608.04436,2026-08,2026,2026-H2,L3,L1+L2+L3,Image;World,"Tool orchestration, routing, and world grounding with feedback","Unified search, native drawing, inspection, and revision",unified multimodal policy,image generator; world generator or simulator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,False,True,False,False,True,False,https://github.com/bubble65/EMU-Agentic-PostTrain,https://huggingface.co/datasets/bubble65/EMU-Agentic-PostTrain-Data,True
Agentic Designer: Progressive Multi-Agent Collaboration for Structure-Aware Interior Layout Generation,https://arxiv.org/abs/2607.20866,2026-07,2026,2026-H2,L3,L1+L3,3D,"Tool orchestration, routing, and world grounding with feedback",Constraint-verified layout refinement,multi-role language or multimodal controller,3D generator or scene engine,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,True,True,False,False,True,False,,,False
Knowledge-Centric Agents for Workflow Generation in ComfyUI,https://arxiv.org/abs/2607.15845,2026-07,2026,2026-H2,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Workflow self-refinement,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,False,True,False,False,True,False,,,False
PairCoder++: Pair Programming as a Universal Paradigm for Verified Code-Driven Multimodal and Structured-Artifact Generation,https://arxiv.org/abs/2607.01883,2026-07,2026,2026-H2,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Outcome-aware verification and revision,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/yisuanwang/PairCoder,http://yisuanwang.github.io/PairCoder,True
Qwen-Image-Agent,https://arxiv.org/abs/2606.26907,2026-06,2026,2026-H1,L3,L1+L2+L3,Image;World,"Tool orchestration, routing, and world grounding with feedback","Search, memory, editing, and feedback",language or multimodal controller,image generator; world generator or simulator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,False,True,True,False,True,False,,,False
Code2UML: Agentic LLMs with context engineering for scalable software visualization,https://arxiv.org/abs/2605.24453,2026-05,2026,2026-H1,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Corrector-guided UML repair,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
Generation Navigator,https://arxiv.org/abs/2605.17969,2026-05,2026,2026-H1,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",State-aware action choice,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
SCOPE,https://arxiv.org/abs/2605.08043,2026-05,2026,2026-H1,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback","Specification-guided skill orchestration, verification, and repair",language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,True,False,True,False,https://github.com/nopnor/SCOPE,https://nopnor.github.io/SCOPE/,True
COMIC: Agentic Sketch Comedy Generation,https://arxiv.org/abs/2603.11048,2026-03,2026,2026-H1,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Critic-guided evolutionary selection,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/SusungHong/COMIC,https://susunghong.github.io/COMIC,True
Feynman: Knowledge-Infused Diagramming Agent for Scalable Visual Designs,https://arxiv.org/abs/2603.12597,2026-03,2026,2026-H1,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Rendered diagram feedback,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,False,True,False,False,True,False,,,False
AutoFigure: Generating and Refining Publication-Ready Scientific Illustrations,https://arxiv.org/abs/2602.03828,2026-02,2026,2026-H1,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Outcome-aware verification and revision,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/ResearAI/AutoFigure,https://huggingface.co/datasets/WestlakeNLP/FigureBench,True
UniReason 1.0,https://arxiv.org/abs/2602.02437,2026-02,2026,2026-H1,L3,L1+L3,Image;Editing;World,"Tool orchestration, routing, and world grounding with feedback",Knowledge reasoning and correction,language or multimodal controller,image generator; visual editor; world generator or simulator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,True,False,False,True,False,False,True,False,https://github.com/AlenjandroWang/UniReason,,True
ComfySearch: Autonomous Exploration and Reasoning for ComfyUI Workflows,https://arxiv.org/abs/2601.04060,2026-01,2026,2026-H1,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Validation-guided graph repair,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,True,True,False,True,False,False,True,False,https://github.com/panhongxing-sds/comfysearch,,True
GenAgent,https://arxiv.org/abs/2601.18543,2026-01,2026,2026-H1,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Trained tool use and reflection,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
Vision-as-Inverse-Graphics Agent via Interleaved Multimodal Reasoning,https://arxiv.org/abs/2601.11109,2026-01,2026,2026-H1,L3,L1+L2+L3,Image;3D;World,"Tool orchestration, routing, and world grounding with feedback",Code-render-inspect repair loop,unified multimodal policy,image generator; 3D generator or scene engine; world generator or simulator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,False,False,True,False,https://github.com/Fugtemypt123/VIGA,https://fugtemypt123.github.io/VIGA-website/,True
Image-POSER,https://arxiv.org/abs/2511.11780,2025-11,2025,2025-H2,L3,L1+L2+L3,Image;Editing,"Tool orchestration, routing, and world grounding with feedback",Reflective expert routing,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
ImAgent,https://arxiv.org/abs/2511.11483,2025-11,2025,2025-H2,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Policy-controlled test-time actions,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
Maestro,https://arxiv.org/abs/2509.10704,2025-09,2025,2025-H2,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Critic-guided orchestration,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
T2I-Copilot,https://arxiv.org/abs/2507.20536,2025-07,2025,2025-H2,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Evaluator-controlled regeneration,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/SHI-Labs/T2I-Copilot,,True
ComfyGPT: A Self-Optimizing Multi-Agent System for Comprehensive ComfyUI Workflow Generation,https://arxiv.org/abs/2503.17671,2025-03,2025,2025-H1,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Execute-and-refine workflow control,multi-role language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,True,True,False,False,True,False,https://github.com/comfygpt/comfygpt,https://comfygpt.github.io/,True
ImageRAG,https://arxiv.org/abs/2502.09411,2025-02,2025,2025-H1,L3,L1+L2+L3,Image,"Tool orchestration, routing, and world grounding with feedback",Generation-gap-triggered retrieval,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,True,True,False,True,False,False,True,False,https://github.com/rotem-shalev/ImageRAG,https://rotem-shalev.github.io/ImageRAG/,True
GenArtist,https://arxiv.org/abs/2407.05600,2024-07,2024,2024-H2,L3,L1+L2+L3,Image;Editing,"Tool orchestration, routing, and world grounding with feedback","Tool tree, verification, and repair",language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,https://zhenyuw16.github.io/GenArtist_page/,False
InterleaveThinker: Reinforcing Agentic Interleaved Generation,https://arxiv.org/abs/2606.13679,2026-06,2026,2026-H1,L3,L1+L2+L3,Image,Unified and latent closed-loop generation,Outcome-aware verification and revision,unified multimodal policy,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/zhengdian1/InterleaveThinker,https://zhengdian1.github.io/InterleaveThinker-proj/,True
StruVis: Enhancing Reasoning-based Text-to-Image Generation via Thinking with Structured Vision,https://arxiv.org/abs/2603.06032,2026-03,2026,2026-H1,L3,L1+L3,Image,Unified and latent closed-loop generation,Intermediate-image inspection and refinement,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,False,False,True,False,False,True,False,,,False
DraCo: Draft as CoT for Text-to-Image Preview and Rare Concept Generation,https://arxiv.org/abs/2512.05112,2025-12,2025,2025-H2,L3,L1+L3,Image,Unified and latent closed-loop generation,Draft verification and selective correction,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,https://github.com/CaraJ7/DraCo,,True
Uni-CoT,https://arxiv.org/abs/2508.05606,2025-08,2025,2025-H2,L3,L1+L3,Image,Unified and latent closed-loop generation,Closed-loop micro-level visual reevaluation,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,False,True,False,https://github.com/Fr0zenCrane/UniCoT,https://sais-fuxi.github.io/projects/uni-cot/,True
GEMS,https://arxiv.org/abs/2603.28088,2026-03,2026,2026-H1,L3,L1+L2+L3,Image;Editing,Unified and latent closed-loop generation,Current-trajectory working and experience memory,language or multimodal controller,image generator; visual editor,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",True,False,True,False,True,True,False,True,False,https://github.com/lcqysl/GEMS,https://gems-gen.github.io/,True
AlphaGRPO,https://arxiv.org/abs/2605.12495,2026-05,2026,2026-H1,L3,L1+L3,Image,Unified and latent closed-loop generation,Self-reflective verifiable rewards,language or multimodal controller,image generator,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,False,False,True,False,True,True,False,https://github.com/huangrh99/AlphaGRPO,https://huangrh99.github.io/AlphaGRPO/,True
